For Account:,#####3758


TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

10/26/22,Interest,EQ,#2145605,0,1.29,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
10/11/22,Bought,EQ,PRVB,12675,-95062.5,7.5,0,PROVENTION BIO INC            COMMON STOCK
10/11/22,Transfer,UNKNOWN, ,0,-100000,0,0,ACH WITHDRAWL                 REFID:64277706906;
10/07/22,Transfer,UNKNOWN, ,0,-100000,0,0,ACH WITHDRAWL                 REFID:64044218906;
09/26/22,Interest,EQ,#2145605,0,2.51,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
08/26/22,Interest,EQ,#2145605,0,2.51,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
07/26/22,Interest,EQ,#2145605,0,2.34,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
06/27/22,Interest,EQ,#2145605,0,2.59,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
05/26/22,Interest,EQ,#2145605,0,1.41,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
05/17/22,Transfer,UNKNOWN, ,0,-100000,0,0,ACH WITHDRAWL                 REFID:53851380906;
05/09/22,Sold,EQ,AMZN,-30,66490.76,2216.37,0,AMAZON.COM INC
05/09/22,Sold,EQ,VIG,-0.63353,95.33,150.475,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF
05/09/22,Sold,EQ,VIG,-680,102314.02,150.4627,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF
05/09/22,Sold,EQ,SPR,-100,3081.97,30.82,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A
05/09/22,Sold,EQ,SPR,-700,21580.79,30.83,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A
05/09/22,Sold,EQ,SPR,-0.87853,27.09,30.83,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A
05/09/22,Sold,EQ,ZS,-490,76591.44,156.31,0,ZSCALER INC                   COMMON STOCK
05/09/22,Sold,EQ,ZS,-510,79698.14,156.2718,0,ZSCALER INC                   COMMON STOCK
05/09/22,Sold,EQ,CRSP,-900,39923.76,44.3601,0,***CRISPR THERAPEUTICS AG     NAMEN AKT CHF0.03
05/09/22,Sold,EQ,CRSP,-100,4438.96,44.39,0,***CRISPR THERAPEUTICS AG     NAMEN AKT CHF0.03
04/26/22,Interest,EQ,#2145605,0,0.01,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
04/08/22,Dividend,EQ,SPR,0.18593,-8.01,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  43.0800               REC 03/18/22 PAY 04/08/22
04/08/22,Dividend,EQ,SPR,0,8.01,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON                  800.69260 SHS
03/28/22,Interest,EQ,#2145605,0,0.28,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
03/24/22,Dividend,EQ,VIG,2.93,-470.26,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           REIN @ 160.4984
03/24/22,Dividend,EQ,VIG,0,470.26,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON
03/23/22,Bought,EQ,ALLO,10000,-99500,9.95,0,ALLOGENE THERAPEUTICS INC     COMMON STOCK
03/18/22,Transfer,UNKNOWN, ,0,100000,0,0,ACH DEPOSIT                   REFID:49297674906;
03/03/22,Transfer,UNKNOWN, ,0,-78000,0,0,ACH WITHDRAWL                 REFID:48126837906;
03/02/22,Transfer,UNKNOWN, ,0,-100000,0,0,ACH WITHDRAWL                 REFID:48019142906;
02/28/22,Interest,EQ,#2145605,0,1.91,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
02/16/22,Transfer,UNKNOWN, ,0,-50000,0,0,ACH WITHDRAWL                 REFID:46982605906;
01/26/22,Interest,EQ,#2145605,0,1.63,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
01/03/22,Dividend,EQ,SPR,0.17674,-8.01,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  45.3212               REC 12/13/21 PAY 01/03/22
01/03/22,Dividend,EQ,SPR,0,8.01,0,0,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON                  800.51586 SHS



