For Account:,#####3758


TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/20/23,Dividend,EQ,EA,0.484,-66.88,138.35321,0,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT
12/20/23,Dividend,EQ,EA,0,66.88,0,0,ELECTRONIC ARTS INC REC 12/20/23 PAY 12/20/23 RATE 0.00000000 QTY 0.00000000
12/15/23,Transfer, , ,0,20,0,0,ACH DEPOSIT  REFID:95569158906;
12/13/23,Reorganization,EQ,TIL,0,6.18,0,0,INSTIL BIO INC NEW CASH IN LIEU OF FRACTIONS
12/08/23,Misc Trade,EQ, ,0,-38,0,0,INSTIL BIO INC MANDATORY REORG FEE
12/08/23,Reorganization,EQ,TIL,1624,0,0,0,INSTIL BIO INC NEW EXCHANGE
12/08/23,Reorganization,EQ, ,-32499,0,0,0,INSTIL BIO INC EXCHANGE
11/30/23,Interest,MMF,MSBNK,-0.24,0.24,0,0,MORGAN STANLEY BANK N.A. (Period 11/01-11/30)
11/13/23,Bought,EQ,EA,52,-6907.16,132.83,0,ELECTRONIC ARTS INC UNSOLICITED TRADE
11/13/23,Bought,EQ,EA,200,-26563,132.815,0,ELECTRONIC ARTS INC UNSOLICITED TRADE
11/13/23,Bought,EQ,EA,100,-13282.96,132.8296,0,ELECTRONIC ARTS INC UNSOLICITED TRADE
11/13/23,Bought,EQ,ZS,300,-53512.5,178.375,0,ZSCALER  INC UNSOLICITED TRADE
11/13/23,Sold,EQ,ALLO,-3,7.33,2.445,0.01,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE
11/13/23,Sold,EQ,ALLO,-2500,6087.09,2.435,0.05,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE
11/13/23,Sold,EQ,ALLO,-9997,24391.03,2.44,0.2,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE
11/13/23,Sold,EQ,ALLO,-2500,6100.84,2.4405,0.05,ALLOGENE THERAPEUTICS INC UNSOLICITED TRADE
10/31/23,Interest,MMF,MSBNK,0,0.14,0,0,MORGAN STANLEY BANK N.A. (Period 10/01-10/31)
10/23/23,Misc Trade,EQ,SCPL,0,-38,0,0,SCIPLAY CORP CL A MANDATORY REORG FEE
10/23/23,Reorganization,EQ,SCPL,-2777,63732.15,22.95,0,SCIPLAY CORP CL A EXCHANGE FOR CASH
05/26/23,Interest,EQ,#2145605,0,0.78,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
05/08/23,Bought,EQ,SCPL,151,-2515.64,16.6599,0,SCIPLAY CORPORATION           CLASS A COMMON STOCK
05/08/23,Bought,EQ,SCPL,1,-16.65,16.65,0,SCIPLAY CORPORATION           CLASS A COMMON STOCK
05/08/23,Bought,EQ,SCPL,1748,-29121.68,16.66,0,SCIPLAY CORPORATION           CLASS A COMMON STOCK
05/08/23,Bought,EQ,SCPL,877,-14637.13,16.69,0,SCIPLAY CORPORATION           CLASS A COMMON STOCK
05/08/23,Bought,EQ,SOFI,10000,-54100,5.41,0,SOFI TECHNOLOGIES INC         COMMON STOCK
05/08/23,Bought,EQ,URGN,6000,-73860,12.31,0,***UROGEN PHARMA LTD          ORDINARY SHARES
05/08/23,Bought,EQ,DVAX,1468,-16015.73,10.9099,0,DYNAVAX TECHNOLOGIES CORP
05/08/23,Bought,EQ,DVAX,4532,-49421.46,10.905,0,DYNAVAX TECHNOLOGIES CORP
05/08/23,Bought,EQ,UBER,2000,-77220,38.61,0,UBER TECHNOLOGIES INC         COMMON STOCK
05/08/23,Transfer,UNKNOWN, ,0,22.65,0,0,ACH DEPOSIT                   REFID:79390348906;
05/01/23,Reorganization,UNKNOWN, ,0,38,0,0,REORG FEE REVERSAL(74374N102) REFID:23118103568646;
04/28/23,Reorganization,EQ,74374N102,-12675,316875,25,0,PROVENTION BIO INC            COMMON STOCK                  CASH MERGER @ $25
04/28/23,Reorganization,EQ,74374N102,0,-38,0,0,PROVENTION BIO INC            COMMON STOCK                  MANDATORY REORG FEE CHARGED
01/19/23,Adjustment,EQ,TIL,32499,0,0,0,INSTIL BIO INC                COMMON STOCK                  FREE REC BKR 07805



