All Transactions Activity Types

Account Activity for maya -3758 from 2022

Total:,-228303.75999999992

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
10/26/22,10/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,1.29,0,--,--
10/11/22,10/11/22,,Bought,PROVENTION BIO INC            COMMON STOCK,PRVB,--,12675,7.5,-95062.5,0,--,--
10/11/22,10/11/22,,Transfer,ACH WITHDRAWL                 REFID:64277706906;, ,--,0,0,-100000,0,--,--
10/07/22,10/07/22,,Transfer,ACH WITHDRAWL                 REFID:64044218906;, ,--,0,0,-100000,0,--,--
09/26/22,09/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,2.51,0,--,--
08/26/22,08/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,2.51,0,--,--
07/26/22,07/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,2.34,0,--,--
06/27/22,06/27/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,2.59,0,--,--
05/26/22,05/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,1.41,0,--,--
05/17/22,05/17/22,,Transfer,ACH WITHDRAWL                 REFID:53851380906;, ,--,0,0,-100000,0,--,--
05/09/22,05/09/22,,Sold,AMAZON.COM INC,AMZN,--,-30,2216.37,66490.76,0,--,--
05/09/22,05/09/22,,Sold,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF,VIG,--,-0.63353,150.475,95.33,0,--,--
05/09/22,05/09/22,,Sold,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF,VIG,--,-680,150.4627,102314.02,0,--,--
05/09/22,05/09/22,,Sold,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A,SPR,--,-100,30.82,3081.97,0,--,--
05/09/22,05/09/22,,Sold,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A,SPR,--,-700,30.83,21580.79,0,--,--
05/09/22,05/09/22,,Sold,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A,SPR,--,-0.87853,30.83,27.09,0,--,--
05/09/22,05/09/22,,Sold,ZSCALER INC                   COMMON STOCK,ZS,--,-490,156.31,76591.44,0,--,--
05/09/22,05/09/22,,Sold,ZSCALER INC                   COMMON STOCK,ZS,--,-510,156.2718,79698.14,0,--,--
05/09/22,05/09/22,,Sold,***CRISPR THERAPEUTICS AG     NAMEN AKT CHF0.03,CRSP,--,-900,44.3601,39923.76,0,--,--
05/09/22,05/09/22,,Sold,***CRISPR THERAPEUTICS AG     NAMEN AKT CHF0.03,CRSP,--,-100,44.39,4438.96,0,--,--
04/26/22,04/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,0.01,0,--,--
04/08/22,04/08/22,,Dividend,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  43.0800               REC 03/18/22 PAY 04/08/22,SPR,--,0.18593,0,-8.01,0,--,--
04/08/22,04/08/22,,Dividend,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON                  800.69260 SHS,SPR,--,0,0,8.01,0,--,--
03/28/22,03/28/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,0.28,0,--,--
03/24/22,03/24/22,,Dividend,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           REIN @ 160.4984,VIG,--,2.93,0,-470.26,0,--,--
03/24/22,03/24/22,,Dividend,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON,VIG,--,0,0,470.26,0,--,--
03/23/22,03/23/22,,Bought,ALLOGENE THERAPEUTICS INC     COMMON STOCK,ALLO,--,10000,9.95,-99500,0,--,--
03/18/22,03/18/22,,Transfer,ACH DEPOSIT                   REFID:49297674906;, ,--,0,0,100000,0,--,--
03/03/22,03/03/22,,Transfer,ACH WITHDRAWL                 REFID:48126837906;, ,--,0,0,-78000,0,--,--
03/02/22,03/02/22,,Transfer,ACH WITHDRAWL                 REFID:48019142906;, ,--,0,0,-100000,0,--,--
02/28/22,02/28/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,1.91,0,--,--
02/16/22,02/16/22,,Transfer,ACH WITHDRAWL                 REFID:46982605906;, ,--,0,0,-50000,0,--,--
01/26/22,01/26/22,,Interest,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST,#2145605,--,0,0,1.63,0,--,--
01/03/22,01/03/22,,Dividend,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      REIN @  45.3212               REC 12/13/21 PAY 01/03/22,SPR,--,0.17674,0,-8.01,0,--,--
01/03/22,01/03/22,,Dividend,SPIRIT AEROSYSTEMS HOLDINGS   INC CL A                      CASH DIV  ON                  800.51586 SHS,SPR,--,0,0,8.01,0,--,--
